StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q4_12_TEXT,Q5,Q6,Q7
31/08/2022 11:45,31/08/2022 11:48,Dirección IP,201.175.205.179,100,190,VERDADERO,31/08/2022 11:48,R_R32ycojcu30wsZH,,,,,25.6449,-100.311,anonymous,EN,21,4,Acompañado,Misterio,,"Palomitas,Bebida,Hotdog",350,Tapioca
31/08/2022 12:08,31/08/2022 12:09,Dirección IP,131.178.102.140,100,64,VERDADERO,31/08/2022 12:09,R_2QVXnm6hf0JlWoA,,,,,25.6449,-100.311,anonymous,EN,21,1,Acompañado,Romance,,"Palomitas,Nachos,Crepas/Pizza",500,gomitas con chile
31/08/2022 12:09,31/08/2022 12:10,Dirección IP,200.68.140.16,100,67,VERDADERO,31/08/2022 12:10,R_3QFv7wf5w81DZhZ,,,,,19.4326,-99.1332,anonymous,EN,22,3,Acompañado,Thriller Psicologico,,"Palomitas,Bebida,ICEE/Frappe,Hotdog,Nachos",1000,papitas con salsa
31/08/2022 12:13,31/08/2022 12:14,Dirección IP,187.189.188.42,100,56,VERDADERO,31/08/2022 12:14,R_5o7oMSnApjjtT21,,,,,25.6677,-100.2514,anonymous,EN,22,2,Acompañado,Comedia,,"Palomitas,Bebida,Hotdog,Nachos",300,Todas están 
31/08/2022 12:24,31/08/2022 12:25,Dirección IP,131.178.102.168,100,51,VERDADERO,31/08/2022 12:25,R_1riFeEYqD1IJCQ3,,,,,25.6449,-100.311,anonymous,EN,21,1,Acompañado,Romance,,"Palomitas,Bebida",150,Papas a la francesa 
31/08/2022 12:28,31/08/2022 12:30,Dirección IP,189.152.112.180,100,90,VERDADERO,31/08/2022 12:30,R_3LZ6dtC8RrSY4tE,,,,,25.6554,-100.3258,anonymous,EN,22,4,Solo,Drama,,Nachos,300,Tostitos con queso y elote
31/08/2022 12:39,31/08/2022 12:40,Dirección IP,187.195.191.24,100,59,VERDADERO,31/08/2022 12:40,R_2SprKSwZsbADXK3,,,,,25.6554,-100.3258,anonymous,EN,22,2,Acompañado,Fantasia,,Palomitas,200,Cosas saludables o Keto 
31/08/2022 12:47,31/08/2022 12:48,Dirección IP,189.179.233.234,100,71,VERDADERO,31/08/2022 12:48,R_3kgI57dHDEDXKwJ,,,,,29.328,-100.9501,anonymous,EN,20,1,Solo,Ciencia Ficcion,,Palomitas,150,Chocolate 
31/08/2022 12:55,31/08/2022 12:56,Dirección IP,80.98.180.95,100,60,VERDADERO,31/08/2022 12:56,R_UhCnS8dNWSmdTPj,,,,,47.5636,19.0947,anonymous,EN,21,3,Acompañado,Misterio,,"Palomitas,Nachos",200,Caldo de pollo o alitas
31/08/2022 13:04,31/08/2022 13:06,Dirección IP,200.68.165.18,100,83,VERDADERO,31/08/2022 13:06,R_21pNVfdksYwAf2I,,,,,25.6554,-100.3258,anonymous,EN,23,4,Acompañado,Comedia,,"Bebida,Crepas/Pizza",300,Ruffles
31/08/2022 13:03,31/08/2022 13:06,Dirección IP,189.179.202.222,100,152,VERDADERO,31/08/2022 13:06,R_2pLAGibTvXUeZT5,,,,,27.479,-99.6724,anonymous,EN,19,0,Acompañado,Thriller Psicologico,,"Palomitas,Nachos",200,Ninguna
31/08/2022 13:06,31/08/2022 13:07,Dirección IP,200.68.165.18,100,88,VERDADERO,31/08/2022 13:07,R_269m7e3t8GBObVF,,,,,25.6554,-100.3258,anonymous,EN,22,2,Acompañado,Drama,,"Palomitas,Bebida,ICEE/Frappe,Hotdog",500,Elotes praparados
31/08/2022 13:07,31/08/2022 13:08,Dirección IP,189.179.202.5,100,61,VERDADERO,31/08/2022 13:08,R_2Ug7lAZszMKnbQk,,,,,27.479,-99.6724,anonymous,EN,20,2,Acompañado,Ciencia Ficcion,,Chocolates,150,Elotes preparados
31/08/2022 13:58,31/08/2022 13:58,Dirección IP,189.179.109.45,100,48,VERDADERO,31/08/2022 13:58,R_pKK3CAwp3fWywcF,,,,,27.479,-99.6724,anonymous,EN,20,1,Acompañado,Drama,,"Palomitas,Bebida",200,Hamburguesas 
31/08/2022 14:09,31/08/2022 14:10,Dirección IP,189.179.135.162,100,63,VERDADERO,31/08/2022 14:10,R_C4GOPIq4IShJOQV,,,,,28.7804,-100.6168,anonymous,EN,20,1,Acompañado,Thriller Psicologico,,"Palomitas,Bebida,Hotdog,Nachos",200,Helado 
31/08/2022 14:30,31/08/2022 14:33,Dirección IP,189.158.110.110,100,140,VERDADERO,31/08/2022 14:33,R_3m1qqTmc90TNfDj,,,,,25.7442,-100.3103,anonymous,EN,20,1,Acompañado,Superheroes,,"Palomitas,Bebida",2000,Galletas
31/08/2022 14:38,31/08/2022 14:42,Dirección IP,189.211.232.8,100,225,VERDADERO,31/08/2022 14:42,R_2qyKAAnkMa8M2U4,,,,,25.6554,-100.3258,anonymous,EN,22,1,Acompañado,Drama,,"Palomitas,Bebida,Hotdog",220,Fruta
